S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
366,1400,385,64,6.3,7.2,1400
367,2600,376,64,6.3,7.1,2600
368,5600,379,64,6,7.1,3500
369,5450,380,64,6.2,7.1,4000
370,5300,379,64,6,7.1,4500
371,2300,370,64,6.2,7.1,1500
372,3300,396,64,6,7.2,1750
373,5000,379,64,6.2,7.1,2500
374,3500,385,64,6.1,7.2,2000
375,2600,370,64,6.3,7.1,2600
376,2700,376,64,6.3,7.1,1600
377,2850,397,64,6.13,7.2,1800
378,3750,376,64,6.3,7.2,2000
379,3600,396,64,6,7.1,2500
380,1900,397,64,6.3,7.1,1000
381,1250,376,64,6.2,7.1,500
382,3100,380,64,6.3,7.2,1300
383,6500,397,64,6.1,7.2,3000
384,6250,397,64,6.1,7.2,3200
385,2650,370,64,6.13,7.1,1200
386,3800,385,64,6,7.2,1550
387,5350,396,64,6.2,7.1,3000
388,5100,380,64,6,7.1,4000
389,1600,385,64,6.2,7.2,1600
390,1700,397,64,6.3,7.2,1000
391,1350,376,64,6.2,7.1,1350
392,3250,380,64,6,7.1,1750
393,2250,370,64,6.1,7.2,1850
394,1300,396,64,6.3,7.2,500
395,5250,380,64,6.2,7.1,3500
396,2300,370,64,6.3,7.1,1450
397,3400,385,64,6,7.1,2000
398,3750,376,64,6.3,7.2,1550
399,3100,380,64,6.2,7.1,1400
400,3150,396,64,6,7.2,1500
401,2600,380,64,6,7.1,1460
402,3100,380,64,6,7.1,1600
403,2750,376,64,6.13,7.2,1600
404,3500,376,64,6.1,7.2,2250
405,3750,397,64,6.1,7.2,3000
406,3200,396,64,6.2,7.2,2500
407,1500,385,64,6.2,7.2,500
408,1600,376,64,6.3,7.2,1600
409,3500,385,64,6.3,7.2,2200
410,3250,376,64,6.3,7.1,2000
411,2500,376,64,6.3,7.1,2500
412,2000,370,64,6.1,7.1,1500
413,2500,376,64,6.1,7.1,1750
414,1900,396,64,6.2,7.1,1200
415,2000,397,64,6.2,7.1,1500
416,1500,397,64,6,7.1,1000
417,3250,396,64,6.2,7.1,3000
418,2250,379,64,6.2,7.1,2000
419,1250,376,64,6.2,7.1,1250
420,2200,379,64,6,7.1,1600
421,1100,380,64,6.2,7.1,600
422,1950,380,64,6,7.1,1500
423,3200,385,64,6.2,7.2,2500
424,2100,370,64,6.1,7.1,1600
425,3150,396,64,6,7.2,1500
426,1800,397,64,6.3,7.1,1800
427,2500,370,64,6.1,7.2,1750
428,3500,385,64,6.3,7.2,2250
429,3500,376,64,6.1,7.2,2200
430,1900,397,64,6.3,7.1,600
431,2500,370,64,6.2,7.1,2500
432,3800,385,64,6.3,7.2,1600
433,2100,396,64,6,7.1,1500
434,2400,370,64,6.3,7.1,2000
435,3950,396,64,6.1,7.2,3000
436,2700,380,64,6.2,7.1,2500
437,1500,376,64,6.2,7.1,500
438,2150,397,64,6.2,7.1,1500
439,3150,396,64,6.3,7.1,2150
440,2600,376,64,6.1,7.1,2000
441,5350,379,64,6,7.1,4000
442,2750,376,64,6.13,7.2,1600
443,3850,385,64,6.2,7.2,1500
444,3550,376,64,6.1,7.2,2000
445,5150,380,64,6.2,7.1,4500
446,5250,379,64,6,7.1,4000
447,1550,397,64,6.2,7.1,1000
448,2950,376,64,6.3,7.2,1500
449,1350,385,64,6.2,7.1,500
450,3300,380,64,6,7.2,2000
451,2000,370,64,6.2,7.1,1000
452,3000,380,64,6,7.2,1500
453,3000,385,64,6.3,7.2,2000
454,5000,379,64,6,7.1,3300
455,6000,397,64,6.1,7.2,3000
456,5450,380,64,6.2,7.1,4200
457,5200,396,64,6,7.1,3500
458,3450,385,64,6.1,7.1,1450
459,3550,376,64,6.1,7.2,1600
460,2350,397,64,6.3,7.1,1700
461,3350,380,64,6.2,7.1,2000
462,3050,380,64,6,7.1,1000
463,2050,370,64,6.2,7.2,2050
464,5050,396,64,6.2,7.1,4500
465,6050,397,64,6.1,7.2,3500
466,1400,385,64,6.3,7.2,1400
467,2600,376,64,6.3,7.1,2600
468,5600,379,64,6,7.1,3500
469,5450,380,64,6.2,7.1,4000
470,5300,379,64,6,7.1,4500
471,2300,370,64,6.2,7.1,1500
472,3300,396,64,6,7.2,1750
473,5000,379,64,6.2,7.1,2500
474,3500,385,64,6.1,7.2,2000
475,2600,370,64,6.3,7.1,2600
476,2700,376,64,6.3,7.1,1600
477,2850,397,64,6.13,7.2,1800
478,3750,376,64,6.3,7.2,2000
479,3600,396,64,6,7.1,2500
480,1900,397,64,6.3,7.1,1000
481,1250,376,64,6.2,7.1,500
482,3100,380,64,6.3,7.2,1300
483,6500,397,64,6.1,7.2,3000
484,6250,397,64,6.1,7.2,3200
485,2650,370,64,6.13,7.1,1200
486,3800,385,64,6,7.2,1550
487,5350,396,64,6.2,7.1,3000
